platform,topic,content,toxic,toxic_one_hot,toxic_type,toxic_type_one_hot,expression,expression_one_hot,target,length,num_attacked
zhihu,region,就凭你的北京户口我就感觉你比我高级五个阶级，我是河北人😆,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",31,0
tieba,race,抓虫大战，人人有责,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",9,1
tieba,race,好久都没有见过那么干净的白人班级了，一个黑乐色都没有,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",26,1
zhihu,race,我觉得中国女性媚外值得批评的是中国男性，你们看一看出轨的女人的老公一看就很软弱，而以前在社会上混的男人的老婆我没发现谁敢出轨，中国男人如果能和黑人或穆斯林男性一样暴力，那中国就没有媚外的说法。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",96,2
tieba,gender,呼叫腕豪！,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",5,0
tieba,gender,事实就是这样，很多女人天天被家暴，被揍得鼻青脸肿什么似的，到处抱怨自己的不幸，但就是不离婚，反过来被男的捧在手心娇着惯着的每天就各种不满说男的不好动不动闹离婚还对男的上演家庭暴力。这就是?,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",94,1
zhihu,race,那岂不是婊子都不如🤔,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",13,0
zhihu,race,估计已经成了非洲某部落的第36号王妃,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",18,1
tieba,gender,对号入座了，茶壶嘴破防了，戳到痛处了心脏不好的都来我这接种预防针,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",32,1
zhihu,region,😅笑死，能给我瑞典绿卡吗,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",15,0
